,Catfish sold (foodsize),Trout sold (foodsize),"Baitfish sold, inferred","Ornamental fish sold, inferred","Crawfish for food sold, inferred",Shrimp saltwater sold,Cattle sold,Pigs sold,Layers inventory,Broilers sold
United States,213692000,37353000,1197969000,89893000,948812000,110225609,69812061,235282860,368241393,8889759283
Alabama,64245000,,877151,0,246537,6065981,594866,241176,7867738,1108822526
Alaska,,,0,0,0,0,1813,3492,8360,9727
Arizona,,,0,0,0,196151,616531,,,15148
Arkansas,11904000,,809866223,0,0,0,937533,1192402,12285533,1066200182
California,1874000,1516000,0,0,0,0,3073094,207768,14194957,288000313
Colorado,,452000,0,0,0,0,3045915,3313271,4536917,
Connecticut,,103000,0,142478,0,0,15643,9206,,83468
Delaware,,,0,0,0,0,6685,56154,,262807807
Florida,48000,,0,59305758,0,8770295,832950,38561,7536543,65698665
Georgia,307000,103000,0,0,0,0,505563,573727,17966521,1380543983
Hawaii,92000,1000,0,0,0,20841081,58066,,192185,8356
Idaho,,22750000,0,0,0,0,1870607,105161,472192,17852
Illinois,,,0,82596,0,0,725018,16883477,5470158,847871
Indiana,,,0,0,0,0,621197,11315171,26354377,44862510
Iowa,,,4531947,0,0,0,3595241,60292876,56554774,21981704
Kansas,,,0,0,0,0,7973867,5401917,,22153
Kentucky,388000,,0,0,0,0,1255252,1251677,5909873,289214287
Louisiana,384000,,8808058,0,928842489,0,369217,7498,1970896,156348601
Maine,,,0,0,0,0,31739,10081,,222347
Maryland,,,0,479055,0,1225946,86985,64614,2971918,307690339
Massachusetts,,21000,0,0,0,0,15234,,155008,56291
Michigan,,475000,9758305,0,0,0,748919,4076081,15074549,8868690
Minnesota,,,57855419,0,0,0,1683259,27228111,10849607,60397850
Mississippi,123101000,,5262906,0,0,0,516287,1697829,5828262,745189499
Missouri,,607000,32600779,0,0,0,2144440,13063669,11306386,286139429
Montana,,,0,0,0,0,1813524,605523,931006,131318
Nebraska,,563000,0,4130,0,0,7508695,14302959,7353761,6785473
Nevada,,,0,0,0,0,278757,3150,15964,1722
New Hampshire,,27000,0,0,0,0,12216,7368,246099,128782
New Jersey,,,0,417108,0,0,11351,16288,1631775,217559
New Mexico,,,0,0,0,0,922034,3453,102020,4144
New York,,116000,4568495,223008,0,0,608279,191458,6058141,1685775
North Carolina,1601000,4011000,9429373,0,0,0,377397,35800173,14160452,832869502
North Dakota,,,0,0,0,0,1146693,1135962,81364,17773
Ohio,10000,,77883701,297344,0,0,780535,9187326,28868147,97878519
Oklahoma,,,0,0,0,0,3601637,9098282,3354460,197594939
Oregon,,303000,0,37168,0,0,910169,23498,2491379,16465498
Pennsylvania,,1266000,8442579,1668433,0,0,767197,5534127,26317523,183894324
Rhode Island,,,0,0,0,0,1280,3143,55681,6859
South Carolina,,,804055,0,2876267,612973,158279,536221,4002121,241390536
South Dakota,,,0,0,0,0,2752025,5359357,2708331,146197
Tennessee,106000,42000,0,0,0,0,931330,867856,1986321,169503820
Texas,8488000,,1096439,1313271,12381645,72513183,10478530,1811812,21006254,619061221
Utah,,78000,0,0,0,0,453554,1464741,4480850,
Vermont,,,0,0,0,0,96151,10369,173241,345831
Virginia,4000,543000,0,0,0,0,825758,664342,2447718,261649137
Washington,,3130000,0,0,0,0,933817,26544,7128683,27101183
West Virginia,,489000,0,0,0,0,213390,10467,1215655,84728299
Wisconsin,,382000,74484740,0,0,0,1913129,804586,7639627,53438462
Wyoming,,,0,0,0,0,990413,484245,29550,5731