"Data generated on Tuesday, February 27, 2024 at 8:15:20 PM EST"
Consumption Commodities Imported,,,,,January - December
Area/Partners of Origin,,,,,Quantities
,,,,,,2022,
,HS Code,Product,,Partner,UOM,Qty,Reporter Code,Partner Code,Product Code,
"1","020629","Bovine Offal Froz","1","Canada","MT","16,509.8","US","CA","020629",
"1","020629","Bovine Offal Froz","2","Mexico","MT","10,652.5","US","MX","020629",
"1","020629","Bovine Offal Froz","3","Australia(*)","MT","8,158.4","US","AS","020629",
"1","020629","Bovine Offal Froz","4","Uruguay","MT","3,476.0","US","UY","020629",
"1","020629","Bovine Offal Froz","5","New Zealand(*)","MT","2,412.8","US","NZ","020629",
"1","020629","Bovine Offal Froz","6","Nicaragua","MT","2,267.4","US","NU","020629",
"1","020629","Bovine Offal Froz","7","Ireland","MT","1,814.8","US","EI","020629",
"1","020629","Bovine Offal Froz","8","Argentina","MT","272.1","US","AR","020629",
"1","020629","Bovine Offal Froz","9","United Kingdom","MT","220.6","US","UK","020629",
"1","020629","Bovine Offal Froz","10","Costa Rica","MT","200.8","US","CS","020629",
"1","020629","Bovine Offal Froz","11","Netherlands","MT","187.9","US","NL","020629",
"1","020629","Bovine Offal Froz","12","Chile","MT","144.3","US","CI","020629",
"1","020629","Bovine Offal Froz","13","Spain","MT","24.8","US","SP","020629",
"1","020629","Bovine Offal Froz","14","Brazil","MT","2.9","US","BR","020629",
"2","021012","Swine Bellies, Bacon, Cured","1","Canada","MT","20,763.9","US","CA","021012",
"2","021012","Swine Bellies, Bacon, Cured","2","Poland","MT","284.3","US","PL","021012",
"2","021012","Swine Bellies, Bacon, Cured","3","Hungary","MT","119.8","US","HU","021012",
"2","021012","Swine Bellies, Bacon, Cured","4","Italy(*)","MT","74.4","US","IT","021012",
"2","021012","Swine Bellies, Bacon, Cured","5","Mexico","MT","65.8","US","MX","021012",
"2","021012","Swine Bellies, Bacon, Cured","6","Lithuania","MT","8.8","US","LH","021012",
"2","021012","Swine Bellies, Bacon, Cured","7","Netherlands","MT","1.4","US","NL","021012",
"3","020649","Swine Offal Froz","1","Canada","MT","11,942.2","US","CA","020649",
"3","020649","Swine Offal Froz","2","Mexico","MT","4,054.7","US","MX","020649",
"3","020649","Swine Offal Froz","3","Denmark(*)","MT","3,209.7","US","DA","020649",
"3","020649","Swine Offal Froz","4","Chile","MT","168.5","US","CI","020649",
"3","020649","Swine Offal Froz","5","Australia(*)","MT","49.0","US","AS","020649",
"3","020649","Swine Offal Froz","6","Spain","MT","26.5","US","SP","020649",
"3","020649","Swine Offal Froz","7","Barbados","MT","20.7","US","BB","020649",
"3","020649","Swine Offal Froz","8","Netherlands","MT","16.1","US","NL","020649",
"4","021019","Swine Meat, Nesoi, Cured","1","Italy(*)","MT","12,528.9","US","IT","021019",
"4","021019","Swine Meat, Nesoi, Cured","2","Canada","MT","2,524.6","US","CA","021019",
"4","021019","Swine Meat, Nesoi, Cured","3","Spain","MT","1,784.1","US","SP","021019",
"4","021019","Swine Meat, Nesoi, Cured","4","Mexico","MT","651.2","US","MX","021019",
"4","021019","Swine Meat, Nesoi, Cured","5","Poland","MT","280.6","US","PL","021019",
"4","021019","Swine Meat, Nesoi, Cured","6","Germany(*)","MT","201.7","US","GM","021019",
"4","021019","Swine Meat, Nesoi, Cured","7","Denmark(*)","MT","69.2","US","DA","021019",
"4","021019","Swine Meat, Nesoi, Cured","8","Netherlands","MT","26.4","US","NL","021019",
"4","021019","Swine Meat, Nesoi, Cured","9","France(*)","MT","17.4","US","FR","021019",
"4","021019","Swine Meat, Nesoi, Cured","10","United Kingdom","MT","13.2","US","UK","021019",
"5","020610","Bovine Offal Fr/Ch","1","Mexico","MT","10,234.0","US","MX","020610",
"5","020610","Bovine Offal Fr/Ch","2","Canada","MT","3,955.8","US","CA","020610",
"5","020610","Bovine Offal Fr/Ch","3","Australia(*)","MT","2,041.4","US","AS","020610",
"5","020610","Bovine Offal Fr/Ch","4","Argentina","MT","275.4","US","AR","020610",
"5","020610","Bovine Offal Fr/Ch","5","New Zealand(*)","MT","235.6","US","NZ","020610",
"5","020610","Bovine Offal Fr/Ch","6","Nicaragua","MT","88.1","US","NU","020610",
"5","020610","Bovine Offal Fr/Ch","7","Ireland","MT","27.3","US","EI","020610",
"5","020610","Bovine Offal Fr/Ch","8","Netherlands","MT","2.3","US","NL","020610",
"5","020610","Bovine Offal Fr/Ch","9","Uruguay","MT","0.4","US","UY","020610",
"6","020630","Swine Offal Fr/Ch","1","Canada","MT","15,804.6","US","CA","020630",
"6","020630","Swine Offal Fr/Ch","2","Hungary","MT","177.4","US","HU","020630",
"6","020630","Swine Offal Fr/Ch","3","Mexico","MT","168.3","US","MX","020630",
"6","020630","Swine Offal Fr/Ch","4","Brazil","MT","45.8","US","BR","020630",
"7","020910","Pig Fat","1","Canada","MT","8,993.1","US","CA","020910",
"7","020910","Pig Fat","2","Spain","MT","707.0","US","SP","020910",
"7","020910","Pig Fat","3","Mexico","MT","28.4","US","MX","020910",
"8","020641","Swine Livers, Froz","1","Chile","MT","2,556.3","US","CI","020641",
"8","020641","Swine Livers, Froz","2","Canada","MT","1,519.9","US","CA","020641",
"8","020641","Swine Livers, Froz","3","Mexico","MT","49.5","US","MX","020641",
"9","021011","Hams, Cured","1","Spain","MT","1,098.3","US","SP","021011",
"9","021011","Hams, Cured","2","Italy(*)","MT","706.2","US","IT","021011",
"9","021011","Hams, Cured","3","Canada","MT","338.0","US","CA","021011",
"9","021011","Hams, Cured","4","Poland","MT","13.0","US","PL","021011",
"9","021011","Hams, Cured","5","France(*)","MT","4.8","US","FR","021011",
"10","020621","Bovine Tongues, Froz","1","Canada","MT","868.5","US","CA","020621",
"10","020621","Bovine Tongues, Froz","2","Ireland","MT","107.3","US","EI","020621",
"10","020621","Bovine Tongues, Froz","3","New Zealand(*)","MT","90.3","US","NZ","020621",
"10","020621","Bovine Tongues, Froz","4","Nicaragua","MT","56.6","US","NU","020621",
"10","020621","Bovine Tongues, Froz","5","United Kingdom","MT","14.8","US","UK","020621",
"10","020621","Bovine Tongues, Froz","6","Costa Rica","MT","7.1","US","CS","020621",
"10","020621","Bovine Tongues, Froz","7","Mexico","MT","4.1","US","MX","020621",
"10","020621","Bovine Tongues, Froz","8","Australia(*)","MT","0.2","US","AS","020621",
"11","020990","Poultry Fat","1","Canada","MT","588.4","US","CA","020990",
"12","020622","Bovine Livers, Froz","1","Canada","MT","233.1","US","CA","020622",
"12","020622","Bovine Livers, Froz","2","Ireland","MT","112.2","US","EI","020622",
"12","020622","Bovine Livers, Froz","3","Australia(*)","MT","19.1","US","AS","020622",
"13","021020","Bovine Meat, Cured","1","Canada","MT","244.5","US","CA","021020",
"13","021020","Bovine Meat, Cured","2","Turkey","MT","41.8","US","TU","021020",
"13","021020","Bovine Meat, Cured","3","Uruguay","MT","24.7","US","UY","021020",
"13","021020","Bovine Meat, Cured","4","Mexico","MT","1.3","US","MX","021020",
"13","021020","Bovine Meat, Cured","5","New Zealand(*)","MT","0.9","US","NZ","021020",
"","","Grand Total","","","MT","156,733.9",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General."
"3. (*) denotes a country that is a summarization of its component countries."
"4. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"5. Product Group : Harmonized"